,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
5567,2021-03-09,12.10176682245343,12.58712425408231,12.03093343927547,12.490851402282717,521824000,0.004,0.0
5631,2021-06-09,17.47862236374269,17.537746648406795,17.219173263047757,17.321455001831055,381656000,0.004,0.0
5689,2021-08-31,22.65089250327732,22.65089250327732,22.077011144271815,22.341495513916016,259850000,0.004,0.0
5753,2021-12-01,33.15848555542354,33.22835772936128,31.32283312139004,31.37773323059082,484368000,0.004,0.0
5815,2022-03-02,23.716769669293974,24.368691177995757,23.376333195498205,24.18000221252441,389642000,0.004,0.0
5883,2022-06-08,18.7719230143709,19.1523747665173,18.508303322559527,18.62114143371582,363252000,0.004,0.0
5945,2022-09-07,13.547487346769756,13.822173393200552,13.330735528061444,13.698314666748049,512657000,0.004,0.0
6004,2022-11-30,15.68305495838726,16.91496036475685,15.583144366115114,16.90796661376953,565298000,0.004,0.0
6069,2023-03-07,23.583044962685054,24.10766739527253,23.224301727377597,23.27126884460449,515154000,0.004,0.0
6133,2023-06-07,38.8910668640844,39.47470731820112,37.33302378077641,37.45195007324219,511998000,0.004,0.0
6195,2023-09-06,48.41519655177033,48.52313691375408,46.555187876917,47.03593063354492,468670000,0.004,0.0
6258,2023-12-05,45.44577138304523,46.57926572789528,45.25085844528795,46.54528427124024,371718000,0.004,0.0
6319,2024-03-05,85.23607018990775,86.0627446282655,83.38381061731276,85.92979431152344,520639000,0.004,0.0
6387,2024-06-11,121.73153992527472,122.8311986310285,118.7024980632085,120.87181854248048,222551200,0.01,0.0
6451,2024-09-12,116.81309067491064,120.76218565399152,115.35342779588602,119.11256408691406,366052700,0.01,0.0
6510,2024-12-05,145.08658555940238,146.51634749056768,143.9267690762933,145.03659057617188,172621200,0.01,0.0
6574,2025-03-12,114.1120814413496,116.75189758318456,112.87216201952944,115.73196411132812,323857500,0.01,0.0
6637,2025-06-11,144.61000061035156,144.99000549316406,141.8699951171875,142.8300018310547,167694000,0.01,0.0
